country,scenario,metric,baseline_value,comparison_value,difference
AFG,tobacco_t1,Total deaths averted by 2030,1604127.54,1604114.21,-13.330000000074506
AFG,tobacco_t1,Total deaths averted by 2035,3022348.9600000004,3022301.5300000007,-47.42999999970198
AFG,tobacco_t1,Cases averted by 2030,14186501.030000001,14180419.43,-6081.60000000149
AFG,tobacco_t1,Cases averted by 2035,29962134.87,29944118.53,-18016.33999999985
AFG,tobacco_t1,Total healthy years lived by 2030,247917675.68,247918030.94,355.25999999046326
AFG,tobacco_t1,Total healthy years lived by 2035,477631934.81000006,477633061.29999995,1126.4899998903275
AFG,tobacco_t1,Economic benefit (USD) by 2030,27026479969.616734,27026544591.744934,64622.128200531006
AFG,tobacco_t1,Economic benefit (USD) by 2035,49415560364.5384,49415746359.16272,185994.6243209839
AFG,tobacco_t1,Intervention cost (USD) by 2030,0,18483987.024287384,18483987.024287384
AFG,tobacco_t1,Intervention cost (USD) by 2035,0,33065749.844113056,33065749.844113056
AFG,asthma_cr1,Total deaths averted by 2030,1604127.54,1604127.5400000003,2.3283064365386963e-10
AFG,asthma_cr1,Total deaths averted by 2035,3022348.9600000004,3022348.960000001,4.656612873077393e-10
AFG,asthma_cr1,Cases averted by 2030,14186501.030000001,14186501.030000001,0.0
AFG,asthma_cr1,Cases averted by 2035,29962134.87,29962134.87,0.0
AFG,asthma_cr1,Total healthy years lived by 2030,247917675.68,247969929.25000003,52253.57000002265
AFG,asthma_cr1,Total healthy years lived by 2035,477631934.81000006,477765364.2900001,133429.48000001907
AFG,asthma_cr1,Economic benefit (USD) by 2030,27026479969.616734,27030234641.666374,3754672.0496406555
AFG,asthma_cr1,Economic benefit (USD) by 2035,49415560364.5384,49424804958.193634,9244593.65523529
AFG,asthma_cr1,Intervention cost (USD) by 2030,0,171637004.2219864,171637004.2219864
AFG,asthma_cr1,Intervention cost (USD) by 2035,0,307039005.174327,307039005.174327
AFG,tobacco_t2,Total deaths averted by 2030,1604127.54,1604119.26,-8.28000000002794
AFG,tobacco_t2,Total deaths averted by 2035,3022348.9600000004,3022302.4299999997,-46.53000000072643
AFG,tobacco_t2,Cases averted by 2030,14186501.030000001,14182085.88,-4415.1500000003725
AFG,tobacco_t2,Cases averted by 2035,29962134.87,29943869.270000003,-18265.599999997765
AFG,tobacco_t2,Total healthy years lived by 2030,247917675.68,247917927.67000002,251.99000000953674
AFG,tobacco_t2,Total healthy years lived by 2035,477631934.81000006,477633049.0300001,1114.2200000286102
AFG,tobacco_t2,Economic benefit (USD) by 2030,27026479969.616734,27026524986.413254,45016.796520233154
AFG,tobacco_t2,Economic benefit (USD) by 2035,49415560364.5384,49415741457.8719,181093.33350372314
AFG,tobacco_t2,Intervention cost (USD) by 2030,0,58092527.37274932,58092527.37274932
AFG,tobacco_t2,Intervention cost (USD) by 2035,0,103920921.68795288,103920921.68795288
AFG,tobacco_t3,Total deaths averted by 2030,1604127.54,1604122.5800000003,-4.9599999997299165
