country,scenario,metric,baseline_value,comparison_value,difference
AFG,tobacco_t1,Total deaths averted by 2030,1604127.54,1604114.21,-13.330000000074506
AFG,tobacco_t1,Total deaths averted by 2035,3022348.9600000004,3022301.5300000007,-47.42999999970198
AFG,tobacco_t1,Cases averted by 2030,14186501.030000001,14180419.43,-6081.60000000149
AFG,tobacco_t1,Cases averted by 2035,29962134.87,29944118.53,-18016.33999999985
AFG,tobacco_t1,Total healthy years lived by 2030,247917675.68,247918030.94,355.25999999046326
AFG,tobacco_t1,Total healthy years lived by 2035,477631934.81000006,477633061.29999995,1126.4899998903275
AFG,tobacco_t1,Economic benefit (USD) by 2030,29136498402.92,29136569654.68,71251.76000213623
AFG,tobacco_t1,Economic benefit (USD) by 2035,57518883990.25001,57519109903.10999,225912.85998535156
AFG,asthma_cr1,Total deaths averted by 2030,1604127.54,1604127.5400000003,2.3283064365386963e-10
AFG,asthma_cr1,Total deaths averted by 2035,3022348.9600000004,3022348.960000001,4.656612873077393e-10
AFG,asthma_cr1,Cases averted by 2030,14186501.030000001,14186501.030000001,0.0
AFG,asthma_cr1,Cases averted by 2035,29962134.87,29962134.87,0.0
AFG,asthma_cr1,Total healthy years lived by 2030,247917675.68,247969929.25000003,52253.57000002265
AFG,asthma_cr1,Total healthy years lived by 2035,477631934.81000006,477765364.2900001,133429.48000001907
AFG,asthma_cr1,Economic benefit (USD) by 2030,29136498402.92,29140670655.17,4172252.25
AFG,asthma_cr1,Economic benefit (USD) by 2035,57518883990.25001,57530028754.310005,11144764.059997559
AFG,tobacco_t2,Total deaths averted by 2030,1604127.54,1604119.26,-8.28000000002794
AFG,tobacco_t2,Total deaths averted by 2035,3022348.9600000004,3022302.4299999997,-46.53000000072643
AFG,tobacco_t2,Cases averted by 2030,14186501.030000001,14182085.88,-4415.1500000003725
AFG,tobacco_t2,Cases averted by 2035,29962134.87,29943869.270000003,-18265.599999997765
AFG,tobacco_t2,Total healthy years lived by 2030,247917675.68,247917927.67000002,251.99000000953674
AFG,tobacco_t2,Total healthy years lived by 2035,477631934.81000006,477633049.0300001,1114.2200000286102
AFG,tobacco_t2,Economic benefit (USD) by 2030,29136498402.92,29136548908.64,50505.7200012207
AFG,tobacco_t2,Economic benefit (USD) by 2035,57518883990.25001,57519108220.07,224229.81999206543
AFG,tobacco_t3,Total deaths averted by 2030,1604127.54,1604122.5800000003,-4.9599999997299165
AFG,tobacco_t3,Total deaths averted by 2035,3022348.9600000004,3022321.11,-27.850000000558794
AFG,tobacco_t3,Cases averted by 2030,14186501.030000001,14183856.73,-2644.300000000745
AFG,tobacco_t3,Cases averted by 2035,29962134.87,29951197.779999994,-10937.090000007302
AFG,tobacco_t3,Total healthy years lived by 2030,247917675.68,247917826.60000002,150.9200000166893
AFG,tobacco_t3,Total healthy years lived by 2035,477631934.81000006,477632601.9800001,667.1700000166893
AFG,tobacco_t3,Economic benefit (USD) by 2030,29136498402.92,29136528636.789997,30233.869998931885
